Experiment No.,Background Voltage (V),Pulse Voltage (V),Pulse Frequency (Hz),Pulse Duty Factor,Wire Feed Rate (m/min),Table Feed Rate (mm/s),RMS Current (A),RMS Voltage (V),UTS (MPa)
1,17,94.6,180,0.5,9,3.76,1.1299,2.749,412.28
2,17,94.6,180,0.5,9,3.76,1.1299,2.749,415.79
3,14,39,82,0.35,7,5.865,1.1587,2.7301,328.71
4,14,39,82,0.35,7,5.865,1.1587,2.7301,386.92
5,14,39,82,0.35,7,5.865,1.1587,2.7301,358.02
6,10,346,130,0.5,5,2.465,1.1266,2.5884,303.4
7,10,346,130,0.5,5,2.465,1.1266,2.5884,334.56
8,10,346,130,0.5,5,2.465,1.1266,2.5884,323.75
9,17,94.6,180,0.5,9,3.76,1.1299,2.749,412.28
10,17,94.6,180,0.5,9,3.76,1.1299,2.749,415.79
11,17,346,130,0.5,9,3.76,1.1299,2.749,412.28
12,17,346,130,0.5,9,3.76,1.1299,2.749,418.31
13,17,346,130,0.5,9,3.76,1.1299,2.749,450.18
14,20,94.6,180,0.5,11,5.865,1.1587,2.7301,503.03
15,20,94.6,180,0.5,11,5.865,1.1587,2.7301,501.8
16,20,94.6,180,0.5,11,5.865,1.1587,2.7301,468.13
17,10,39,82,0.35,5,2.465,1.1266,2.5884,303.4
18,10,39,82,0.35,5,2.465,1.1266,2.5884,334.56
19,14,39,180,0.5,11,5.865,1.1587,2.7301,461.73
20,14,39,180,0.5,11,5.865,1.1587,2.7301,461.25
21,14,39,180,0.5,11,5.865,1.1587,2.7301,411.05
22,17,346,130,0.5,9,3.76,1.1299,2.749,419.03
23,17,346,130,0.5,9,3.76,1.1299,2.749,419.05
24,17,346,130,0.5,9,3.76,1.1299,2.749,417.1
25,17,346,130,0.5,9,3.76,1.1299,2.749,417.03
26,17,346,130,0.5,9,3.76,1.1299,2.749,404.66
27,17,346,130,0.5,9,3.76,1.1299,2.749,400.05
28,17,346,130,0.5,9,3.76,1.1299,2.749,420.97
29,17,346,130,0.5,9,3.76,1.1299,2.749,422.87
30,17,346,130,0.5,9,3.76,1.1299,2.749,408.1
31,17,346,130,0.5,9,3.76,1.1299,2.749,402.97
32,17,346,130,0.5,9,3.76,1.1299,2.749,419.03
33,17,346,130,0.5,9,3.76,1.1299,2.749,419.05
34,17,346,130,0.5,9,3.76,1.1299,2.749,417.1
35,17,346,130,0.5,9,3.76,1.1299,2.749,417.03
36,17,346,130,0.5,9,3.76,1.1299,2.749,404.66
37,17,346,130,0.5,9,3.76,1.1299,2.749,400.05
38,14,39,180,0.5,11,5.865,1.1587,2.7301,461.73
39,14,39,180,0.5,11,5.865,1.1587,2.7301,461.25
40,14,39,180,0.5,11,5.865,1.1587,2.7301,411.05
41,10,346,130,0.5,5,2.465,1.1266,2.5884,303.4
42,10,346,130,0.5,5,2.465,1.1266,2.5884,334.56
43,10,346,130,0.5,5,2.465,1.1266,2.5884,323.75
44,17,94.6,180,0.5,9,3.76,1.1299,2.749,412.28
45,17,94.6,180,0.5,9,3.76,1.1299,2.749,415.79
46,14,39,82,0.35,7,5.865,1.1587,2.7301,386.92
47,14,39,82,0.35,7,5.865,1.1587,2.7301,358.02
48,14,39,82,0.35,7,5.865,1.1587,2.7301,328.71
49,17,346,130,0.5,9,3.76,1.1299,2.749,406.61
50,17,346,130,0.5,9,3.76,1.1299,2.749,415.43
51,17,346,130,0.5,9,3.76,1.1299,2.749,463.04
52,17,346,130,0.5,9,3.76,1.1299,2.749,456.01
53,10,346,130,0.5,9,3.76,1.1276,2.6885,368.2

